コース名,学部・研究科,登録番号,科目ソート,分野,単位,開講年度・学期,授業教員名,実施形態,授業形態,曜日・時限,授業で使う言語,研究会テーマ,概要,詳細URL
研究会Ａ,総合政策・環境情報学部,6418,A1101,研究プロジェクト科目,4単位,2023 春学期,小林　博人 ,対面,"講義,演習,実験・実習・実技,グループワーク,遠隔あり","月5限,月6限",日本語,"とりあえずやってみる
パーティシパトリー建築・都市・コミュニティデザイン","研究会が目指すこと：
『自分たちの居場所を、自分たちでつくる』
不確実な時代の「とりあえずやってみる」方法論の探究",https://syllabus.sfc.keio.ac.jp/courses/2023_41486?locale=ja
研究会Ａ,総合政策・環境情報学部,48018,A1101,研究プロジェクト科目,4単位,2023 春学期,中川　エリカ ,対面,"講義,演習,実験・実習・実技,グループワーク,遠隔あり","火5限,火6限",日本語,新しい建築の発明・発見,"中川エリカと共に、新しい建築の発明・発見を目指す研究会です。
模型を最重要ツールと捉えた実践を徹底して行います。",https://syllabus.sfc.keio.ac.jp/courses/2023_47982?locale=ja
研究会Ａ,総合政策・環境情報学部,5206,A1101,研究プロジェクト科目,4単位,2023 春学期,中澤　仁 ,対面,"講義,演習,グループワーク,遠隔あり","木2限,木3限",日本語,街と情報,そこに住んだり滞在したりするだけで、情報の力がその人の活動の質を向上させてくれるような街や都市を、スマートシティという。この研究会では、人々の健康や利便性、安全性を高めたり、人を楽しくさせるような情報を収集、処理、生産する情報技術を創造する。,https://syllabus.sfc.keio.ac.jp/courses/2023_28867?locale=ja
研究会Ａ,総合政策・環境情報学部,4252,A1101,研究プロジェクト科目,4単位,2023 春学期,ヴ，　レ　タオ　チ ,対面,"演習,実験・実習・実技,グループワーク","火4限,金4限",英語,選択分析：政策と日常生活,"この研究会では日常に深く根ざす人間の行動に注目する。その観察と分析のための鍵になる概念にはリスク、選択、意思決定、そして日常生活などがある。
人間の一生とか日常生活は自分自身の努力だけで作りあげられるものとは考えない。それは自分が一員である大きな集団（家族、地域社会、社会さらにはネットワーク型の集まり等々）で共有される価値に触れ、それを理解し、取り入れてゆこうという“交渉過程”を通じて構築してゆくものなのである。言い換えると、物理的・社会的環境の変化が続く中で自分達自身も変化しつづけるということである。
ただし、自分達の行動に現れる変化が生き方を支える一貫性を犠牲にするというわけではない。この一貫性は日常のルーティンからの逸脱を最小限度に抑えようとする努力を支えている。上で述べた“交渉過程”を通して価値あるものとして取り入れた物事とか人間関係が中断するとか亀裂を招くような状況に接した時、それを抑えようとする努力を支えるものであり、あるいはそうした状況が生み出す“ロス”を抑えようとする努力などにも見られる。
自分達の行動とかそれをめぐる語り（ナラティヴ）は自分達の生き方をそのまま反映するだけではなく、自分達が所属する社会的なるもの・文化的なるものを“表現”するものでもあることに注目したい。
調査・研究の理論的基盤とツール：知識社会学、政治社会学、認知心理学、行動経済学、事例研究、フィールドワーク、ナラティヴ分析.
研究分野と課題:開発、貧困、教育、心身障害、ヘルス、人間の安全保障、自然災害対策等々様々な条件の下での人間の日常生活に関わる政策課題を研究調査の分野として取り上げている。
調査現場：ベトナム（ホーチーミン・シティ、中部ビン・ディン省）、ラオス（ビエンチャン地区）、インドネシア（ジョクジャカルタ地区）、日本（裾野市須山地区, 東北地方海岸部、その他）など。",https://syllabus.sfc.keio.ac.jp/courses/2023_36786?locale=ja
研究会Ａ,総合政策・環境情報学部,4267,A1101,研究プロジェクト科目,4単位,2023 春学期,松川　昌平 ,対面,"講義,演習,遠隔あり","月5限,月6限",日本語,アルゴリズミック・デザイン／AlgorithmicDesign,"【研究テーマ】
「アルゴリズミック・デザイン」",https://syllabus.sfc.keio.ac.jp/courses/2023_36844?locale=ja
研究会Ａ,総合政策・環境情報学部,41860,A1101,研究プロジェクト科目,4単位,2023 春学期,島津　明人 ,対面,"講義,グループワーク","金2限,金3限",日本語,メンタルヘルスの研究と実践,"「こころの健康なくして健康なし」(No health without mental health: WHO)といわれるように、こころの健康は21世紀の最重要な健康課題の１つです。
島津明人研究室では，3つのHP，すなわち健康増進（Health Promotion）,　生産性の向上（Human Performance），幸福（HaPpiness）をキーワードに，研究と実践を深めることを主な活動目的としています。研究会では，「ストレス」「コーピング」「労働」「行動」「予防」「健康増進」「幸福」「ウェルビーイング」「ウエルネス」などに注目しながら，3つのHPに関する理論的研究，支援方法の開発およびその効果評価を行います。
データにもとづく実証研究と科学的根拠にもとづく実践の推進に関心のある学生，研究職を目指している学生を特に歓迎しています。",https://syllabus.sfc.keio.ac.jp/courses/2023_45954?locale=ja
研究会Ａ,総合政策・環境情報学部,5665,A1101,研究プロジェクト科目,4単位,2023 春学期,武田　圭史 ,対面,"講義,演習,実験・実習・実技,グループワーク,遠隔あり","木5限,木6限",日本語,"映像メディア,UAV/ドローン,VR/AR/XR,Web等先端技術の実践的応用","映像メディア, UAV(ドローン), VR/AR/XR, Webテクノロージーなど広範な先端技術の応用について取り扱います。
映像メディア　目的：様々な活動において映像メディアを駆使しより豊かな表現を可能とする映像メディアの技術及び技法を開発します。　内容：各種用途における映像表現・技法の研究、先端技術を用いた新たな映像表現の実現、映像を用いたマーケティング、実写映像を研究対象とする学生は学期を通じて定期的に映像コンテンツ共同制作するプロジェクトへの参加を必須とします。
UAV(ドローン)開発・応用　目的：信頼性及び機動性の高いドローンの開発とその実践的な応用に関する研究を行います。　内容：先進的UAVの開発、飛行試験、飛行特性計測、操作訓練、制御システムの開発、FPVドローンレース/フリースタイル等競技参加、低遅延映像処理、自律飛行システム、飛行支援システム等の開発を行います。
VR/AR/XR　目的：VRを用いた新たなアプリケーション開発を行います。　内容：VRchatなどの教育への応用、ドローンを用いたVRアプリケーションの開発、WebとVR技術の融合等
Web応用　目的：先端的なWeb応用及び関連技術に関する研究を行います。　内容：Webマーケティング、Webデザイン、データ解析、Web UI/UX、防災情報システム、実用的なWebアプリケーション開発
研究会に初めて参加する履修者に対しては初学期に新人課題を設定しています。新人課題をクリアすることによってその後の研究活動に着手することができ２学期目以降の履修条件ともなっています。映像、VR/XR、においては基本的な作品の作成、Web応用についてはWeb開発に関する基礎的事項を問う課題を設定します。ドローン開発については第４級アマチュア無線技士資格試験合格及びドローンの基本操作習得、空撮映像作成を条件とします。",https://syllabus.sfc.keio.ac.jp/courses/2023_33303?locale=ja
研究会Ａ,総合政策・環境情報学部,5426,A1101,研究プロジェクト科目,4単位,2023 春学期,新保　史生 ,対面,"演習,グループワーク,遠隔あり","火4限,火5限",日本語,情報法研究会,ネットワーク関連の法律問題は、既存の法体系では捉えることのできない新たな問題が様々な形で発生しています。 どのような問題がネットワーク上で発生し、どのような対応が求められているかについて、ケーススタディーをもとに法的な側面を中心に研究します。,https://syllabus.sfc.keio.ac.jp/courses/2023_31595?locale=ja
研究会Ａ,総合政策・環境情報学部,27495,A1101,研究プロジェクト科目,4単位,2023 春学期,松井　孝治 ,対面,"講義,演習,遠隔あり","月2限,月3限",日本語,統治機構及び日本社会研究,日本の統治機構、特に立法、行政機構にまつわる課題と展望、公共政策の担い手の拡大による「新しい公共」の形成、政治と国民、社会のコミュニケーションのあり方を研究する研究会です。加えてこれまでB2ゼミで行ってきた古典芸能を通じた日本社会の考察も行います,https://syllabus.sfc.keio.ac.jp/courses/2023_41444?locale=ja
研究会Ａ,総合政策・環境情報学部,44854,A1101,研究プロジェクト科目,4単位,2023 春学期,森　さち子 ,対面,"講義,演習,グループワーク","火2限,火3限",日本語,間主観性,さまざまな心理学的テーマについて、臨床心理学や精神分析の知見を応用し、実践的体験的に取り組む。,https://syllabus.sfc.keio.ac.jp/courses/2023_46930?locale=ja
研究会Ａ,総合政策・環境情報学部,43896,A1101,研究プロジェクト科目,4単位,2023 春学期,清水　たくみ ,対面,"講義,演習,グループワーク","火4限,火5限",日本語,未来の組織を探究する,「未来の組織を探究する」,https://syllabus.sfc.keio.ac.jp/courses/2023_46661?locale=ja
研究会Ａ,総合政策・環境情報学部,26279,A1101,研究プロジェクト科目,4単位,2023 春学期,鳴川　肇 ,対面,"講義,実験・実習・実技,グループワーク,遠隔あり","木5限,木6限",日本語,デザインとジオメトリー,グループ活動：企業とのデザイン研究開発，および鳴川研のメンバーが関心を持った創作テーマに基づいた研究開発を行います。美術分野は建築デザイン，プロダクトデザイン，グラフィックデザイン，ファインアートです。実践的な美術創作を行いつつ美術領域全般を探求します。個人制作：テーマ世界地図を制作します。インフォグラフィックス，マッピングの課題です。地政学や地学の教養をグラフィックで表現します。,https://syllabus.sfc.keio.ac.jp/courses/2023_39875?locale=ja
研究会Ａ,総合政策・環境情報学部,43920,A1101,研究プロジェクト科目,4単位,2023 春学期,長谷川　福造 ,対面,"演習,グループワーク","火4限,火5限",日本語,行政に関する法システムと理論,"この研究会で取り扱う領域は、主に行政法と公法学です。行政事件訴訟に関する問題点や行政法理論だけでなく、行政の仕組みや政策立案に関する最新の問題点も対象としています。必要に応じて、専門家をゲストスピーカーとして招くことがあります。
希望内容によっては、広く法学全般についても研究対象として選択可能ですので相談してください。また、公務員や司法試験を考えている学生には個別のアドバイスが可能です。情勢と人数に応じて裁判所見学なども検討中です。",https://syllabus.sfc.keio.ac.jp/courses/2023_46664?locale=ja
研究会Ａ,総合政策・環境情報学部,35050,A1101,研究プロジェクト科目,4単位,2023 春学期,宮本　佳明 ,対面,"講義,演習,グループワーク","火4限,火5限",日本語,気象学研究会,気象学研究会では、気象・気候学の基礎を学びつつ、気象の基礎研究や防災・産業への応用研究を行います。最初の学期は先輩のテーマをサポートし、二学期目以降はそれを引き継ぎ／新たなテーマに取り組みます。具体的には、データ解析やコンピュータシミュレーション、アンケートなどを行って実践します。,https://syllabus.sfc.keio.ac.jp/courses/2023_43727?locale=ja
研究会Ａ,総合政策・環境情報学部,477,A1101,研究プロジェクト科目,4単位,2023 春学期,藁谷　郁美 ,対面,"講義,演習,グループワーク,遠隔あり","月4限,月5限",日本語,１）ことばとメディア、メディア（報道・広告・文学・映画・演劇・その他の舞台芸術）を対象に、「ことば」をデータとして分析し、考察する。２）外国語教育をデザインする（ツールや教材の作成・運用・評価など）＊いずれも、個人研究あるいは共同研究で実施,"この研究会では「ことばとメディア」を扱います。
具体的にはふたつのプロジェクトから成り立ちます。(1)メディア比較研究プロジェクトおよび　(2) 学習環境構築プロジェクトです。それぞれ、個人研究レベルのテーマにより所属するプロジェクトを決めていただきますが、変更は学期途中でも可能です。授業内では基礎的作業部分は共有し、個人研究についてはグループワークを基盤に進めていきます。なお、研究会でのグループ活動では、各自、母語以外の言語を資料として扱うことを前提とします。　以下に、各プロジェクトの内容を記します。",https://syllabus.sfc.keio.ac.jp/courses/2023_39422?locale=ja
研究会Ａ,総合政策・環境情報学部,28047,A1101,研究プロジェクト科目,4単位,2023 春学期,トレース，　ジョナサン　Ｗ ,対面,"講義,演習,グループワーク","木3限,木4限",英語,SecondLanguageTeaching&Learning,Second Language Pedagogy: Teaching Methods,https://syllabus.sfc.keio.ac.jp/courses/2023_41609?locale=ja
研究会Ａ,総合政策・環境情報学部,42005,A1101,研究プロジェクト科目,4単位,2023 春学期,手塚　悟 ,対面,"講義,演習,グループワーク","火3限,火4限",日本語,サイバーセキュリティ＆デジタルトラスト・リサーチ,本研究プロジェクトでは、サイバーセキュリティ＆デジタルトラストを前提とした技術および社会のあり方についての研究を行う。サイバーセキュリティ＆デジタルトラストは、現在では社会の共通基盤として不可欠なものとなっている。技術面・社会面の双方で、サイバーセキュリティ＆デジタルトラストの課題を見つけ、その解決策を研究する。技術面では、共通鍵暗号・公開鍵暗号、Public Key Infrastructure (PKI)等の技術を活用した実装と実証を目指す研究活動を行う。社会面では、ビックデータやAIの時代における新しい約束やルールについて検討し、サイバーセキュリティ＆デジタルトラストの研究を通して「未来の社会をどう創っていくか」を考え、実践する。本研究プロジェクトは、本学の大学院プロジェクト科目やSFC研究所の各種ラボ、IETF・ISO・ITU・NIST・ETSI等の国際標準化団体と協働するとともに、日本国内外との民間企業や他大学と共同で研究活動を行うことで、世界を先導できる仕組み等を社会とのつながりのなかで研究する。,https://syllabus.sfc.keio.ac.jp/courses/2023_45994?locale=ja
研究会Ａ,総合政策・環境情報学部,16420,A1101,研究プロジェクト科目,4単位,2023 春学期,三次　仁 ,対面,講義,"木4限,木5限",日本語,応用ワイヤレス研究会,無線通信・信号処理・メカトロニクスのいずれかの分野で個別テーマを決め開発を通じて理論を学び技術を身に着けます。取り組みたいテーマが特にない場合には研究室で取り組んでいるプロジェクトなどからテーマを提示します。研究会の時間は輪講と研究発表を行います。,https://syllabus.sfc.keio.ac.jp/courses/2023_45969?locale=ja
